FullGeoName,Year,State,County,FIPS,RiskFactor,DataType,Indicator,Prevalence
"IA, Union",2021,IA,Union County,19175,All patients,Adjusted Prevalence,"DR, any stage",2.28
"IA, Van Buren",2021,IA,Van Buren County,19177,All patients,Adjusted Prevalence,"DR, any stage",3.27
"IA, Wapello",2021,IA,Wapello County,19179,All patients,Adjusted Prevalence,"DR, any stage",3.49
"IA, Warren",2021,IA,Warren County,19181,All patients,Adjusted Prevalence,"DR, any stage",2.58
"IA, Washington",2021,IA,Washington County,19183,All patients,Adjusted Prevalence,"DR, any stage",3.51
"IA, Wayne",2021,IA,Wayne County,19185,All patients,Adjusted Prevalence,"DR, any stage",3.74
"IA, Webster",2021,IA,Webster County,19187,All patients,Adjusted Prevalence,"DR, any stage",3.5
"IA, Winnebago",2021,IA,Winnebago County,19189,All patients,Adjusted Prevalence,"DR, any stage",2.44
"IA, Winneshiek",2021,IA,Winneshiek County,19191,All patients,Adjusted Prevalence,"DR, any stage",2.58
"IA, Woodbury",2021,IA,Woodbury County,19193,All patients,Adjusted Prevalence,"DR, any stage",2.61
"IA, Worth",2021,IA,Worth County,19195,All patients,Adjusted Prevalence,"DR, any stage",2.28
"IA, Wright",2021,IA,Wright County,19197,All patients,Adjusted Prevalence,"DR, any stage",2.36
"KS, Allen",2021,KS,Allen County,20001,All patients,Adjusted Prevalence,"DR, any stage",3.27
"KS, Anderson",2021,KS,Anderson County,20003,All patients,Adjusted Prevalence,"DR, any stage",3.22
"KS, Atchison",2021,KS,Atchison County,20005,All patients,Adjusted Prevalence,"DR, any stage",2.63
"KS, Barber",2021,KS,Barber County,20007,All patients,Adjusted Prevalence,"DR, any stage",2.56
"KS, Barton",2021,KS,Barton County,20009,All patients,Adjusted Prevalence,"DR, any stage",2.55
"KS, Bourbon",2021,KS,Bourbon County,20011,All patients,Adjusted Prevalence,"DR, any stage",1.9
"KS, Brown",2021,KS,Brown County,20013,All patients,Adjusted Prevalence,"DR, any stage",2.83
"KS, Butler",2021,KS,Butler County,20015,All patients,Adjusted Prevalence,"DR, any stage",2.57
"KS, Chase",2021,KS,Chase County,20017,All patients,Adjusted Prevalence,"DR, any stage",3.52
"KS, Chautauqua",2021,KS,Chautauqua County,20019,All patients,Adjusted Prevalence,"DR, any stage",2.31
"KS, Cherokee",2021,KS,Cherokee County,20021,All patients,Adjusted Prevalence,"DR, any stage",2.18
"KS, Cheyenne",2021,KS,Cheyenne County,20023,All patients,Adjusted Prevalence,"DR, any stage",1.84
"KS, Clark",2021,KS,Clark County,20025,All patients,Adjusted Prevalence,"DR, any stage",1.69
"KS, Clay",2021,KS,Clay County,20027,All patients,Adjusted Prevalence,"DR, any stage",2.33
"KS, Cloud",2021,KS,Cloud County,20029,All patients,Adjusted Prevalence,"DR, any stage",3.07
"KS, Coffey",2021,KS,Coffey County,20031,All patients,Adjusted Prevalence,"DR, any stage",3.49
"KS, Comanche",2021,KS,Comanche County,20033,All patients,Adjusted Prevalence,"DR, any stage",2.33
"KS, Cowley",2021,KS,Cowley County,20035,All patients,Adjusted Prevalence,"DR, any stage",2.71
"KS, Crawford",2021,KS,Crawford County,20037,All patients,Adjusted Prevalence,"DR, any stage",2.43
"KS, Decatur",2021,KS,Decatur County,20039,All patients,Adjusted Prevalence,"DR, any stage",3.13
"KS, Dickinson",2021,KS,Dickinson County,20041,All patients,Adjusted Prevalence,"DR, any stage",2.72
"KS, Doniphan",2021,KS,Doniphan County,20043,All patients,Adjusted Prevalence,"DR, any stage",2.13
"KS, Douglas",2021,KS,Douglas County,20045,All patients,Adjusted Prevalence,"DR, any stage",2.17
"KS, Edwards",2021,KS,Edwards County,20047,All patients,Adjusted Prevalence,"DR, any stage",2.47
"KS, Elk",2021,KS,Elk County,20049,All patients,Adjusted Prevalence,"DR, any stage",2.29
"KS, Ellis",2021,KS,Ellis County,20051,All patients,Adjusted Prevalence,"DR, any stage",1.66
"KS, Ellsworth",2021,KS,Ellsworth County,20053,All patients,Adjusted Prevalence,"DR, any stage",3.13
"KS, Finney",2021,KS,Finney County,20055,All patients,Adjusted Prevalence,"DR, any stage",2.96
"KS, Ford",2021,KS,Ford County,20057,All patients,Adjusted Prevalence,"DR, any stage",2.64
"KS, Franklin",2021,KS,Franklin County,20059,All patients,Adjusted Prevalence,"DR, any stage",3.18
"KS, Geary",2021,KS,Geary County,20061,All patients,Adjusted Prevalence,"DR, any stage",2.41
"KS, Gove",2021,KS,Gove County,20063,All patients,Adjusted Prevalence,"DR, any stage",1.61
"KS, Graham",2021,KS,Graham County,20065,All patients,Adjusted Prevalence,"DR, any stage",2.32
"KS, Grant",2021,KS,Grant County,20067,All patients,Adjusted Prevalence,"DR, any stage",2.98
"KS, Gray",2021,KS,Gray County,20069,All patients,Adjusted Prevalence,"DR, any stage",2.84
"KS, Greeley",2021,KS,Greeley County,20071,All patients,Adjusted Prevalence,"DR, any stage",1.96
"KS, Greenwood",2021,KS,Greenwood County,20073,All patients,Adjusted Prevalence,"DR, any stage",2.03
"KS, Hamilton",2021,KS,Hamilton County,20075,All patients,Adjusted Prevalence,"DR, any stage",2.47
"KS, Harper",2021,KS,Harper County,20077,All patients,Adjusted Prevalence,"DR, any stage",2.99
"KS, Harvey",2021,KS,Harvey County,20079,All patients,Adjusted Prevalence,"DR, any stage",2.93
"KS, Haskell",2021,KS,Haskell County,20081,All patients,Adjusted Prevalence,"DR, any stage",2.2
"KS, Hodgeman",2021,KS,Hodgeman County,20083,All patients,Adjusted Prevalence,"DR, any stage",2.2
"KS, Jackson",2021,KS,Jackson County,20085,All patients,Adjusted Prevalence,"DR, any stage",3.21
"KS, Jefferson",2021,KS,Jefferson County,20087,All patients,Adjusted Prevalence,"DR, any stage",2.87
"KS, Jewell",2021,KS,Jewell County,20089,All patients,Adjusted Prevalence,"DR, any stage",2.45
"KS, Johnson",2021,KS,Johnson County,20091,All patients,Adjusted Prevalence,"DR, any stage",2.02
"KS, Kearny",2021,KS,Kearny County,20093,All patients,Adjusted Prevalence,"DR, any stage",3.21
"KS, Kingman",2021,KS,Kingman County,20095,All patients,Adjusted Prevalence,"DR, any stage",2.68
"KS, Kiowa",2021,KS,Kiowa County,20097,All patients,Adjusted Prevalence,"DR, any stage",2.89
"KS, Labette",2021,KS,Labette County,20099,All patients,Adjusted Prevalence,"DR, any stage",1.9
"KS, Lane",2021,KS,Lane County,20101,All patients,Adjusted Prevalence,"DR, any stage",2.48
"KS, Leavenworth",2021,KS,Leavenworth County,20103,All patients,Adjusted Prevalence,"DR, any stage",2.71
"KS, Lincoln",2021,KS,Lincoln County,20105,All patients,Adjusted Prevalence,"DR, any stage",3.54
"KS, Linn",2021,KS,Linn County,20107,All patients,Adjusted Prevalence,"DR, any stage",2.26
"KS, Logan",2021,KS,Logan County,20109,All patients,Adjusted Prevalence,"DR, any stage",2.26
"KS, Lyon",2021,KS,Lyon County,20111,All patients,Adjusted Prevalence,"DR, any stage",4.35
"KS, Mcpherson",2021,KS,McPherson County,20113,All patients,Adjusted Prevalence,"DR, any stage",2.15
"KS, Marion",2021,KS,Marion County,20115,All patients,Adjusted Prevalence,"DR, any stage",2.49
"KS, Marshall",2021,KS,Marshall County,20117,All patients,Adjusted Prevalence,"DR, any stage",2.88
"KS, Meade",2021,KS,Meade County,20119,All patients,Adjusted Prevalence,"DR, any stage",2.54
"KS, Miami",2021,KS,Miami County,20121,All patients,Adjusted Prevalence,"DR, any stage",2.42
"KS, Mitchell",2021,KS,Mitchell County,20123,All patients,Adjusted Prevalence,"DR, any stage",2.56
"KS, Montgomery",2021,KS,Montgomery County,20125,All patients,Adjusted Prevalence,"DR, any stage",2.49
"KS, Morris",2021,KS,Morris County,20127,All patients,Adjusted Prevalence,"DR, any stage",3.04
"KS, Morton",2021,KS,Morton County,20129,All patients,Adjusted Prevalence,"DR, any stage",2.46
"KS, Nemaha",2021,KS,Nemaha County,20131,All patients,Adjusted Prevalence,"DR, any stage",2.53
"KS, Neosho",2021,KS,Neosho County,20133,All patients,Adjusted Prevalence,"DR, any stage",3.99
"KS, Ness",2021,KS,Ness County,20135,All patients,Adjusted Prevalence,"DR, any stage",1.58
"KS, Norton",2021,KS,Norton County,20137,All patients,Adjusted Prevalence,"DR, any stage",3.7
"KS, Osage",2021,KS,Osage County,20139,All patients,Adjusted Prevalence,"DR, any stage",3.01
"KS, Osborne",2021,KS,Osborne County,20141,All patients,Adjusted Prevalence,"DR, any stage",2.9
"KS, Ottawa",2021,KS,Ottawa County,20143,All patients,Adjusted Prevalence,"DR, any stage",2.55
"KS, Pawnee",2021,KS,Pawnee County,20145,All patients,Adjusted Prevalence,"DR, any stage",2.77
"KS, Phillips",2021,KS,Phillips County,20147,All patients,Adjusted Prevalence,"DR, any stage",3.09
"KS, Pottawatomie",2021,KS,Pottawatomie County,20149,All patients,Adjusted Prevalence,"DR, any stage",2.64
"KS, Pratt",2021,KS,Pratt County,20151,All patients,Adjusted Prevalence,"DR, any stage",2.76
"KS, Rawlins",2021,KS,Rawlins County,20153,All patients,Adjusted Prevalence,"DR, any stage",2.21
"KS, Reno",2021,KS,Reno County,20155,All patients,Adjusted Prevalence,"DR, any stage",1.93
"KS, Republic",2021,KS,Republic County,20157,All patients,Adjusted Prevalence,"DR, any stage",3.21
"KS, Rice",2021,KS,Rice County,20159,All patients,Adjusted Prevalence,"DR, any stage",2.26
"KS, Riley",2021,KS,Riley County,20161,All patients,Adjusted Prevalence,"DR, any stage",2.56
"KS, Rooks",2021,KS,Rooks County,20163,All patients,Adjusted Prevalence,"DR, any stage",2.83
"KS, Rush",2021,KS,Rush County,20165,All patients,Adjusted Prevalence,"DR, any stage",2.87
"KS, Russell",2021,KS,Russell County,20167,All patients,Adjusted Prevalence,"DR, any stage",2.49
"KS, Saline",2021,KS,Saline County,20169,All patients,Adjusted Prevalence,"DR, any stage",3.47
"KS, Scott",2021,KS,Scott County,20171,All patients,Adjusted Prevalence,"DR, any stage",1.78
"KS, Sedgwick",2021,KS,Sedgwick County,20173,All patients,Adjusted Prevalence,"DR, any stage",3.3
"KS, Seward",2021,KS,Seward County,20175,All patients,Adjusted Prevalence,"DR, any stage",3.6
"KS, Shawnee",2021,KS,Shawnee County,20177,All patients,Adjusted Prevalence,"DR, any stage",2.77
"KS, Sheridan",2021,KS,Sheridan County,20179,All patients,Adjusted Prevalence,"DR, any stage",2.05
"KS, Sherman",2021,KS,Sherman County,20181,All patients,Adjusted Prevalence,"DR, any stage",2.98
"KS, Smith",2021,KS,Smith County,20183,All patients,Adjusted Prevalence,"DR, any stage",3.5
"KS, Stafford",2021,KS,Stafford County,20185,All patients,Adjusted Prevalence,"DR, any stage",3.19
"KS, Stanton",2021,KS,Stanton County,20187,All patients,Adjusted Prevalence,"DR, any stage",3.28
"KS, Stevens",2021,KS,Stevens County,20189,All patients,Adjusted Prevalence,"DR, any stage",2.98
"KS, Sumner",2021,KS,Sumner County,20191,All patients,Adjusted Prevalence,"DR, any stage",2.27
"KS, Thomas",2021,KS,Thomas County,20193,All patients,Adjusted Prevalence,"DR, any stage",2.56
"KS, Trego",2021,KS,Trego County,20195,All patients,Adjusted Prevalence,"DR, any stage",1.64
"KS, Wabaunsee",2021,KS,Wabaunsee County,20197,All patients,Adjusted Prevalence,"DR, any stage",2.88
"KS, Wallace",2021,KS,Wallace County,20199,All patients,Adjusted Prevalence,"DR, any stage",2.49
"KS, Washington",2021,KS,Washington County,20201,All patients,Adjusted Prevalence,"DR, any stage",2.23
"KS, Wichita",2021,KS,Wichita County,20203,All patients,Adjusted Prevalence,"DR, any stage",2.39
"KS, Wilson",2021,KS,Wilson County,20205,All patients,Adjusted Prevalence,"DR, any stage",2.58
"KS, Woodson",2021,KS,Woodson County,20207,All patients,Adjusted Prevalence,"DR, any stage",2.92
"KS, Wyandotte",2021,KS,Wyandotte County,20209,All patients,Adjusted Prevalence,"DR, any stage",3.96
"KY, Adair",2021,KY,Adair County,21001,All patients,Adjusted Prevalence,"DR, any stage",2.15
"KY, Allen",2021,KY,Allen County,21003,All patients,Adjusted Prevalence,"DR, any stage",2.31
"KY, Anderson",2021,KY,Anderson County,21005,All patients,Adjusted Prevalence,"DR, any stage",2.67
"KY, Ballard",2021,KY,Ballard County,21007,All patients,Adjusted Prevalence,"DR, any stage",2.71
"KY, Barren",2021,KY,Barren County,21009,All patients,Adjusted Prevalence,"DR, any stage",2.3
"KY, Bath",2021,KY,Bath County,21011,All patients,Adjusted Prevalence,"DR, any stage",3.33
"KY, Bell",2021,KY,Bell County,21013,All patients,Adjusted Prevalence,"DR, any stage",2.84
"KY, Boone",2021,KY,Boone County,21015,All patients,Adjusted Prevalence,"DR, any stage",3.35
"KY, Bourbon",2021,KY,Bourbon County,21017,All patients,Adjusted Prevalence,"DR, any stage",3.47
"KY, Boyd",2021,KY,Boyd County,21019,All patients,Adjusted Prevalence,"DR, any stage",3.66
"KY, Boyle",2021,KY,Boyle County,21021,All patients,Adjusted Prevalence,"DR, any stage",2.46
"KY, Bracken",2021,KY,Bracken County,21023,All patients,Adjusted Prevalence,"DR, any stage",2.95
"KY, Breathitt",2021,KY,Breathitt County,21025,All patients,Adjusted Prevalence,"DR, any stage",2.85
"KY, Breckinridge",2021,KY,Breckinridge County,21027,All patients,Adjusted Prevalence,"DR, any stage",2.21
"KY, Bullitt",2021,KY,Bullitt County,21029,All patients,Adjusted Prevalence,"DR, any stage",3.1
"KY, Butler",2021,KY,Butler County,21031,All patients,Adjusted Prevalence,"DR, any stage",2.57
"KY, Caldwell",2021,KY,Caldwell County,21033,All patients,Adjusted Prevalence,"DR, any stage",2.35
"KY, Calloway",2021,KY,Calloway County,21035,All patients,Adjusted Prevalence,"DR, any stage",2.99
"KY, Campbell",2021,KY,Campbell County,21037,All patients,Adjusted Prevalence,"DR, any stage",3.85
"KY, Carlisle",2021,KY,Carlisle County,21039,All patients,Adjusted Prevalence,"DR, any stage",3.26
"KY, Carroll",2021,KY,Carroll County,21041,All patients,Adjusted Prevalence,"DR, any stage",2.4
"KY, Carter",2021,KY,Carter County,21043,All patients,Adjusted Prevalence,"DR, any stage",3.52
"KY, Casey",2021,KY,Casey County,21045,All patients,Adjusted Prevalence,"DR, any stage",2.79
"KY, Christian",2021,KY,Christian County,21047,All patients,Adjusted Prevalence,"DR, any stage",2.87
"KY, Clark",2021,KY,Clark County,21049,All patients,Adjusted Prevalence,"DR, any stage",3.87
"KY, Clay",2021,KY,Clay County,21051,All patients,Adjusted Prevalence,"DR, any stage",2.91
"KY, Clinton",2021,KY,Clinton County,21053,All patients,Adjusted Prevalence,"DR, any stage",2.66
"KY, Crittenden",2021,KY,Crittenden County,21055,All patients,Adjusted Prevalence,"DR, any stage",1.96
"KY, Cumberland",2021,KY,Cumberland County,21057,All patients,Adjusted Prevalence,"DR, any stage",2.02
"KY, Daviess",2021,KY,Daviess County,21059,All patients,Adjusted Prevalence,"DR, any stage",1.89
"KY, Edmonson",2021,KY,Edmonson County,21061,All patients,Adjusted Prevalence,"DR, any stage",3
"KY, Elliott",2021,KY,Elliott County,21063,All patients,Adjusted Prevalence,"DR, any stage",3.1
"KY, Estill",2021,KY,Estill County,21065,All patients,Adjusted Prevalence,"DR, any stage",3.78
"KY, Fayette",2021,KY,Fayette County,21067,All patients,Adjusted Prevalence,"DR, any stage",2.7
"KY, Fleming",2021,KY,Fleming County,21069,All patients,Adjusted Prevalence,"DR, any stage",3.01
"KY, Floyd",2021,KY,Floyd County,21071,All patients,Adjusted Prevalence,"DR, any stage",2.36
"KY, Franklin",2021,KY,Franklin County,21073,All patients,Adjusted Prevalence,"DR, any stage",2.92
"KY, Fulton",2021,KY,Fulton County,21075,All patients,Adjusted Prevalence,"DR, any stage",3.63
"KY, Gallatin",2021,KY,Gallatin County,21077,All patients,Adjusted Prevalence,"DR, any stage",3.44
"KY, Garrard",2021,KY,Garrard County,21079,All patients,Adjusted Prevalence,"DR, any stage",2.63
"KY, Grant",2021,KY,Grant County,21081,All patients,Adjusted Prevalence,"DR, any stage",3.21
"KY, Graves",2021,KY,Graves County,21083,All patients,Adjusted Prevalence,"DR, any stage",3.62
"KY, Grayson",2021,KY,Grayson County,21085,All patients,Adjusted Prevalence,"DR, any stage",2.81
"KY, Green",2021,KY,Green County,21087,All patients,Adjusted Prevalence,"DR, any stage",2.27
"KY, Greenup",2021,KY,Greenup County,21089,All patients,Adjusted Prevalence,"DR, any stage",4.1
"KY, Hancock",2021,KY,Hancock County,21091,All patients,Adjusted Prevalence,"DR, any stage",1.99
"KY, Hardin",2021,KY,Hardin County,21093,All patients,Adjusted Prevalence,"DR, any stage",2.12
"KY, Harlan",2021,KY,Harlan County,21095,All patients,Adjusted Prevalence,"DR, any stage",2.58
"KY, Harrison",2021,KY,Harrison County,21097,All patients,Adjusted Prevalence,"DR, any stage",2.69
"KY, Hart",2021,KY,Hart County,21099,All patients,Adjusted Prevalence,"DR, any stage",2.94
"KY, Henderson",2021,KY,Henderson County,21101,All patients,Adjusted Prevalence,"DR, any stage",3
"KY, Henry",2021,KY,Henry County,21103,All patients,Adjusted Prevalence,"DR, any stage",2.38
"KY, Hickman",2021,KY,Hickman County,21105,All patients,Adjusted Prevalence,"DR, any stage",3.34
"KY, Hopkins",2021,KY,Hopkins County,21107,All patients,Adjusted Prevalence,"DR, any stage",2.41
"KY, Jackson",2021,KY,Jackson County,21109,All patients,Adjusted Prevalence,"DR, any stage",4.11
"KY, Jefferson",2021,KY,Jefferson County,21111,All patients,Adjusted Prevalence,"DR, any stage",2.91
"KY, Jessamine",2021,KY,Jessamine County,21113,All patients,Adjusted Prevalence,"DR, any stage",3.14
"KY, Johnson",2021,KY,Johnson County,21115,All patients,Adjusted Prevalence,"DR, any stage",2.59
"KY, Kenton",2021,KY,Kenton County,21117,All patients,Adjusted Prevalence,"DR, any stage",3.19
"KY, Knott",2021,KY,Knott County,21119,All patients,Adjusted Prevalence,"DR, any stage",2.74
"KY, Knox",2021,KY,Knox County,21121,All patients,Adjusted Prevalence,"DR, any stage",2.65
"KY, Larue",2021,KY,Larue County,21123,All patients,Adjusted Prevalence,"DR, any stage",2.35
"KY, Laurel",2021,KY,Laurel County,21125,All patients,Adjusted Prevalence,"DR, any stage",2.3
"KY, Lawrence",2021,KY,Lawrence County,21127,All patients,Adjusted Prevalence,"DR, any stage",3.21
"KY, Lee",2021,KY,Lee County,21129,All patients,Adjusted Prevalence,"DR, any stage",3.35
"KY, Leslie",2021,KY,Leslie County,21131,All patients,Adjusted Prevalence,"DR, any stage",2.57
"KY, Letcher",2021,KY,Letcher County,21133,All patients,Adjusted Prevalence,"DR, any stage",2.45
"KY, Lewis",2021,KY,Lewis County,21135,All patients,Adjusted Prevalence,"DR, any stage",3.21
"KY, Lincoln",2021,KY,Lincoln County,21137,All patients,Adjusted Prevalence,"DR, any stage",2.77
"KY, Livingston",2021,KY,Livingston County,21139,All patients,Adjusted Prevalence,"DR, any stage",2.2
"KY, Logan",2021,KY,Logan County,21141,All patients,Adjusted Prevalence,"DR, any stage",2.84
"KY, Lyon",2021,KY,Lyon County,21143,All patients,Adjusted Prevalence,"DR, any stage",2.25
"KY, Mccracken",2021,KY,McCracken County,21145,All patients,Adjusted Prevalence,"DR, any stage",2.4
"KY, Mccreary",2021,KY,McCreary County,21147,All patients,Adjusted Prevalence,"DR, any stage",2.86
"KY, Mclean",2021,KY,McLean County,21149,All patients,Adjusted Prevalence,"DR, any stage",1.97
"KY, Madison",2021,KY,Madison County,21151,All patients,Adjusted Prevalence,"DR, any stage",3.27
"KY, Magoffin",2021,KY,Magoffin County,21153,All patients,Adjusted Prevalence,"DR, any stage",2.5
"KY, Marion",2021,KY,Marion County,21155,All patients,Adjusted Prevalence,"DR, any stage",2.74
"KY, Marshall",2021,KY,Marshall County,21157,All patients,Adjusted Prevalence,"DR, any stage",2.42
"KY, Martin",2021,KY,Martin County,21159,All patients,Adjusted Prevalence,"DR, any stage",3.48
"KY, Mason",2021,KY,Mason County,21161,All patients,Adjusted Prevalence,"DR, any stage",2.73
"KY, Meade",2021,KY,Meade County,21163,All patients,Adjusted Prevalence,"DR, any stage",2.5
"KY, Menifee",2021,KY,Menifee County,21165,All patients,Adjusted Prevalence,"DR, any stage",2.89
"KY, Mercer",2021,KY,Mercer County,21167,All patients,Adjusted Prevalence,"DR, any stage",2.81
"KY, Metcalfe",2021,KY,Metcalfe County,21169,All patients,Adjusted Prevalence,"DR, any stage",2.05
"KY, Monroe",2021,KY,Monroe County,21171,All patients,Adjusted Prevalence,"DR, any stage",2.54
"KY, Montgomery",2021,KY,Montgomery County,21173,All patients,Adjusted Prevalence,"DR, any stage",3.84
"KY, Morgan",2021,KY,Morgan County,21175,All patients,Adjusted Prevalence,"DR, any stage",2.46
"KY, Muhlenberg",2021,KY,Muhlenberg County,21177,All patients,Adjusted Prevalence,"DR, any stage",2.1
"KY, Nelson",2021,KY,Nelson County,21179,All patients,Adjusted Prevalence,"DR, any stage",4.25
"KY, Nicholas",2021,KY,Nicholas County,21181,All patients,Adjusted Prevalence,"DR, any stage",2.77
"KY, Ohio",2021,KY,Ohio County,21183,All patients,Adjusted Prevalence,"DR, any stage",2.08
"KY, Oldham",2021,KY,Oldham County,21185,All patients,Adjusted Prevalence,"DR, any stage",2.33
"KY, Owen",2021,KY,Owen County,21187,All patients,Adjusted Prevalence,"DR, any stage",2.95
"KY, Owsley",2021,KY,Owsley County,21189,All patients,Adjusted Prevalence,"DR, any stage",3.01
"KY, Pendleton",2021,KY,Pendleton County,21191,All patients,Adjusted Prevalence,"DR, any stage",4.29
"KY, Perry",2021,KY,Perry County,21193,All patients,Adjusted Prevalence,"DR, any stage",2.32
"KY, Pike",2021,KY,Pike County,21195,All patients,Adjusted Prevalence,"DR, any stage",2.95
"KY, Powell",2021,KY,Powell County,21197,All patients,Adjusted Prevalence,"DR, any stage",3.66
"KY, Pulaski",2021,KY,Pulaski County,21199,All patients,Adjusted Prevalence,"DR, any stage",2.32
"KY, Robertson",2021,KY,Robertson County,21201,All patients,Adjusted Prevalence,"DR, any stage",3.77
"KY, Rockcastle",2021,KY,Rockcastle County,21203,All patients,Adjusted Prevalence,"DR, any stage",2.59
"KY, Rowan",2021,KY,Rowan County,21205,All patients,Adjusted Prevalence,"DR, any stage",2.83
"KY, Russell",2021,KY,Russell County,21207,All patients,Adjusted Prevalence,"DR, any stage",2.49
"KY, Scott",2021,KY,Scott County,21209,All patients,Adjusted Prevalence,"DR, any stage",3.03
"KY, Shelby",2021,KY,Shelby County,21211,All patients,Adjusted Prevalence,"DR, any stage",3.09
"KY, Simpson",2021,KY,Simpson County,21213,All patients,Adjusted Prevalence,"DR, any stage",2.77
"KY, Spencer",2021,KY,Spencer County,21215,All patients,Adjusted Prevalence,"DR, any stage",2.86
"KY, Taylor",2021,KY,Taylor County,21217,All patients,Adjusted Prevalence,"DR, any stage",2
"KY, Todd",2021,KY,Todd County,21219,All patients,Adjusted Prevalence,"DR, any stage",2.64
"KY, Trigg",2021,KY,Trigg County,21221,All patients,Adjusted Prevalence,"DR, any stage",2.26
"KY, Trimble",2021,KY,Trimble County,21223,All patients,Adjusted Prevalence,"DR, any stage",2.78
"KY, Union",2021,KY,Union County,21225,All patients,Adjusted Prevalence,"DR, any stage",2.97
"KY, Warren",2021,KY,Warren County,21227,All patients,Adjusted Prevalence,"DR, any stage",2.88
"KY, Washington",2021,KY,Washington County,21229,All patients,Adjusted Prevalence,"DR, any stage",2.73
"KY, Wayne",2021,KY,Wayne County,21231,All patients,Adjusted Prevalence,"DR, any stage",2.23
"KY, Webster",2021,KY,Webster County,21233,All patients,Adjusted Prevalence,"DR, any stage",2.63
"KY, Whitley",2021,KY,Whitley County,21235,All patients,Adjusted Prevalence,"DR, any stage",2.29
"KY, Wolfe",2021,KY,Wolfe County,21237,All patients,Adjusted Prevalence,"DR, any stage",2.51
"KY, Woodford",2021,KY,Woodford County,21239,All patients,Adjusted Prevalence,"DR, any stage",3.07
"LA, Acadia Parish",2021,LA,Acadia Parish,22001,All patients,Adjusted Prevalence,"DR, any stage",2.54
"LA, Allen Parish",2021,LA,Allen Parish,22003,All patients,Adjusted Prevalence,"DR, any stage",3.35
"LA, Ascension Parish",2021,LA,Ascension Parish,22005,All patients,Adjusted Prevalence,"DR, any stage",4.13
"LA, Assumption Parish",2021,LA,Assumption Parish,22007,All patients,Adjusted Prevalence,"DR, any stage",3.44
"LA, Avoyelles Parish",2021,LA,Avoyelles Parish,22009,All patients,Adjusted Prevalence,"DR, any stage",3.94
"LA, Beauregard Parish",2021,LA,Beauregard Parish,22011,All patients,Adjusted Prevalence,"DR, any stage",2.13
"LA, Bienville Parish",2021,LA,Bienville Parish,22013,All patients,Adjusted Prevalence,"DR, any stage",3.21
"LA, Bossier Parish",2021,LA,Bossier Parish,22015,All patients,Adjusted Prevalence,"DR, any stage",2.47
"LA, Caddo Parish",2021,LA,Caddo Parish,22017,All patients,Adjusted Prevalence,"DR, any stage",2.74
"LA, Calcasieu Parish",2021,LA,Calcasieu Parish,22019,All patients,Adjusted Prevalence,"DR, any stage",2.71
"LA, Caldwell Parish",2021,LA,Caldwell Parish,22021,All patients,Adjusted Prevalence,"DR, any stage",2.35
"LA, Cameron Parish",2021,LA,Cameron Parish,22023,All patients,Adjusted Prevalence,"DR, any stage",2.22
"LA, Catahoula Parish",2021,LA,Catahoula Parish,22025,All patients,Adjusted Prevalence,"DR, any stage",4.49
"LA, Claiborne Parish",2021,LA,Claiborne Parish,22027,All patients,Adjusted Prevalence,"DR, any stage",2.7
"LA, Concordia Parish",2021,LA,Concordia Parish,22029,All patients,Adjusted Prevalence,"DR, any stage",4.52
"LA, De Soto Parish",2021,LA,De Soto Parish,22031,All patients,Adjusted Prevalence,"DR, any stage",3.26
"LA, East Baton Rouge Parish",2021,LA,East Baton Rouge Parish,22033,All patients,Adjusted Prevalence,"DR, any stage",3.55
"LA, East Carroll Parish",2021,LA,East Carroll Parish,22035,All patients,Adjusted Prevalence,"DR, any stage",3.36
"LA, East Feliciana Parish",2021,LA,East Feliciana Parish,22037,All patients,Adjusted Prevalence,"DR, any stage",4.14
"LA, Evangeline Parish",2021,LA,Evangeline Parish,22039,All patients,Adjusted Prevalence,"DR, any stage",3.29
"LA, Franklin Parish",2021,LA,Franklin Parish,22041,All patients,Adjusted Prevalence,"DR, any stage",2.74
"LA, Grant Parish",2021,LA,Grant Parish,22043,All patients,Adjusted Prevalence,"DR, any stage",3.56
"LA, Iberia Parish",2021,LA,Iberia Parish,22045,All patients,Adjusted Prevalence,"DR, any stage",2.51
"LA, Iberville Parish",2021,LA,Iberville Parish,22047,All patients,Adjusted Prevalence,"DR, any stage",5.5
"LA, Jackson Parish",2021,LA,Jackson Parish,22049,All patients,Adjusted Prevalence,"DR, any stage",3.6
"LA, Jefferson Parish",2021,LA,Jefferson Parish,22051,All patients,Adjusted Prevalence,"DR, any stage",3.98
"LA, Jefferson Davis Parish",2021,LA,Jefferson Davis Parish,22053,All patients,Adjusted Prevalence,"DR, any stage",2.76
"LA, Lafayette Parish",2021,LA,Lafayette Parish,22055,All patients,Adjusted Prevalence,"DR, any stage",2.1
"LA, Lafourche Parish",2021,LA,Lafourche Parish,22057,All patients,Adjusted Prevalence,"DR, any stage",2.89
"LA, La Salle Parish",2021,LA,La Salle Parish,22059,All patients,Adjusted Prevalence,"DR, any stage",2.39
"LA, Lincoln Parish",2021,LA,Lincoln Parish,22061,All patients,Adjusted Prevalence,"DR, any stage",4.24
"LA, Livingston Parish",2021,LA,Livingston Parish,22063,All patients,Adjusted Prevalence,"DR, any stage",3.18
"LA, Madison Parish",2021,LA,Madison Parish,22065,All patients,Adjusted Prevalence,"DR, any stage",5.27
