FullGeoName,Year,State,County,FIPS,RiskFactor,DataType,Indicator,Prevalence,ToxPi Score,Name,Source,Temperature-related deaths!1!0x88cceeff,Disaster-related deaths!1!0x44aa99ff,Air pollution-related deaths!1!0x117733ff,Air pollution-related illnesses!1!0x332288ff,Infectious Diseases!1!0xddcc77ff,ToxPi Score_socio,Name_socio,Source_socio,Costs of Climate Disasters!1!0x88cceeff,Economic & Productivity Losses!1!0x44aa99ff,Transition Risks!1!0x117733ff,Social Stressors!1!0x332288ff,ToxPi Score_env,Name3,Source_env,Transportation Sources!1!0x88cceeff,Exposures & Risks!1!0x44aa99ff,Pollution Sources!1!0x117733ff,Criteria Air Pollutants!1!0x332288ff,Land Use!1!0xddcc77ff,ToxPi Score_infra,Name_infra,Source_infra,Transportation!1!0x88cceeff,Energy!1!0x44aa99ff,"Food, Water, and Waste Management!1!0x117733ff",Communications!1!0x332288ff,Financial Services!1!0xddcc77ff,Governance!1!0x999933ff
"IL, Saline",2021,IL,Saline County,17165,All patients,Adjusted Prevalence,"DR, any stage",3.78,0.55393292506523,"IL, Saline","+37.7516531,-088.5450310",0.892743475493316,0.617771969944463,0.626568265682657,0.38160407383832,0.250976840367395,0.456893624210143,"IL, Saline","+37.7516531,-088.5450310",0.22987258389513,0.634263608279882,0.642910209288714,0.320528095376847,0.477083783691269,"IL, Saline","+37.7516531,-088.5450310",0.344683226346637,0.443806882177514,0.393368629077512,0.709171533636167,0.494388647218516,0.631049233481893,"IL, Saline","+37.7516531,-088.5450310",0.524684154064822,0.624782135713411,0.639670412211834,0.709584202921817,0.590534787891685,0.69703970808779
"IL, Sangamon",2021,IL,Sangamon County,17167,All patients,Adjusted Prevalence,"DR, any stage",2.56,0.464982631944052,"IL, Sangamon","+39.7563782,-089.6623110",0.562062380649268,0.617771969944463,0.449446494464945,0.146721833227244,0.548910481434343,0.437700447725495,"IL, Sangamon","+39.7563782,-089.6623110",0.255447918555861,0.467873857896202,0.462447936201222,0.565032078248694,0.578375969378104,"IL, Sangamon","+39.7563782,-089.6623110",0.511582472788166,0.666299559522727,0.521043257618269,0.63508544235345,0.557869114607907,0.387899452646233,"IL, Sangamon","+39.7563782,-089.6623110",0.322998615486587,0.315280173798347,0.295328676415365,0.410017659335367,0.456322352195876,0.527449238645859
"IL, Schuyler",2021,IL,Schuyler County,17169,All patients,Adjusted Prevalence,"DR, any stage",2.91,0.428102584290711,"IL, Schuyler","+40.1569048,-090.6134641",0.488860598345003,0.617771969944463,0.374723247232472,0.214513049013367,0.444644056918248,0.516771480153956,"IL, Schuyler","+40.1569048,-090.6134641",0.331140212966551,0.664530043395001,0.514350395161622,0.557065269092648,0.428118519087014,"IL, Schuyler","+40.1569048,-090.6134641",0.620243743604056,0.38558866911913,0.216776050942982,0.490374215877136,0.427609915891765,0.437981928265714,"IL, Schuyler","+40.1569048,-090.6134641",0.33656237164783,0.831472289120114,0.412304459925922,0.337774923743779,0.191192101318755,0.518585423837887
"IL, Scott",2021,IL,Scott County,17171,All patients,Adjusted Prevalence,"DR, any stage",2.37,0.466399802361499,"IL, Scott","+39.6369795,-090.4777593",0.565881604073838,0.617771969944463,0.426937269372694,0.190006365372374,0.531401803044127,0.576147752485357,"IL, Scott","+39.6369795,-090.4777593",0.456922225865567,0.713738879365548,0.566344879758478,0.567585024951835,0.490957312491626,"IL, Scott","+39.6369795,-090.4777593",0.690808447297423,0.37282473680964,0.289164857149828,0.604369457062514,0.497619064138726,0.546240863865098,"IL, Scott","+39.6369795,-090.4777593",0.433227486037588,0.893644107477528,0.393090526834719,0.480655000802697,0.37811846524651,0.698709596791547
"IL, Shelby",2021,IL,Shelby County,17173,All patients,Adjusted Prevalence,"DR, any stage",3.47,0.472135877696752,"IL, Shelby","+39.3849258,-088.7988615",0.606619987269255,0.617771969944463,0.426014760147601,0.161362189688097,0.548910481434343,0.513755732603035,"IL, Shelby","+39.3849258,-088.7988615",0.391357709718134,0.612992148440412,0.518951676984353,0.53172139526924,0.473483058203983,"IL, Shelby","+39.3849258,-088.7988615",0.598148664992092,0.464177301735924,0.249957303535267,0.594202898550725,0.460929122205907,0.523225410138054,"IL, Shelby","+39.3849258,-088.7988615",0.224621983560107,0.924411602429673,0.346551910527432,0.613421094878793,0.469327433174153,0.561018436258169
"IL, Stark",2021,IL,Stark County,17175,All patients,Adjusted Prevalence,"DR, any stage",2.8,0.406653918479689,"IL, Stark","+41.0969077,-089.7974111",0.396880967536601,0.617771969944463,0.377859778597786,0.0442393380012731,0.596517538318324,0.515168245761837,"IL, Stark","+41.0969077,-089.7974111",0.304404758273768,0.659446017866025,0.397109734318448,0.699712472589106,0.354836464047047,"IL, Stark","+41.0969077,-089.7974111",0.170387943064471,0.352533530704229,0.340010247151536,0.549643088903309,0.361607510411687,0.53077561537097,"IL, Stark","+41.0969077,-089.7974111",0.580748103573853,0.544737101346692,0.486197869199333,0.663830470380478,0.475223069884304,0.433917077841157
"IL, Stephenson",2021,IL,Stephenson County,17177,All patients,Adjusted Prevalence,"DR, any stage",2.52,0.385771448638088,"IL, Stephenson","+42.3497262,-089.6659942",0.257161043921069,0.617771969944463,0.319372693726937,0.0270528325907066,0.707498703007262,0.588474098630333,"IL, Stephenson","+42.3497262,-089.6659942",0.353724897362734,0.503996260546445,0.638677030011802,0.85749820660035,0.525142809277868,"IL, Stephenson","+42.3497262,-089.6659942",0.287096474090613,0.567823620360972,0.556029960719252,0.576789963227342,0.637974027991161,0.498093927554912,"IL, Stephenson","+42.3497262,-089.6659942",0.534607009695678,0.555336338753344,0.370072898766853,0.379996789211752,0.477477283920539,0.671073244981309
"IL, Tazewell",2021,IL,Tazewell County,17179,All patients,Adjusted Prevalence,"DR, any stage",2.77,0.414974179932192,"IL, Tazewell","+40.5080739,-089.5162597",0.480903882877148,0.617771969944463,0.404243542435424,0.127307447485678,0.444644056918248,0.521940551827801,"IL, Tazewell","+40.5080739,-089.5162597",0.229813065865925,0.617407471910369,0.547203547375919,0.693338122158992,0.523896352556328,"IL, Tazewell","+40.5080739,-089.5162597",0.324495301888548,0.5711502459429,0.671261619537902,0.629569543586416,0.423005051825877,0.39867045801087,"IL, Tazewell","+40.5080739,-089.5162597",0.43007560025895,0.330302881042814,0.365951180187376,0.347728367314176,0.379592374424047,0.538372344837856
"IL, Union",2021,IL,Union County,17181,All patients,Adjusted Prevalence,"DR, any stage",3.45,0.508404685254719,"IL, Union","+37.4751042,-089.2528747",0.833227243793762,0.617771969944463,0.526752767527675,0.386696371737747,0.177575073269951,0.505638215829595,"IL, Union","+37.4751042,-089.2528747",0.348821057522308,0.803687719503718,0.579320494498578,0.290723591793777,0.45196247509774,"IL, Union","+37.4751042,-089.2528747",0.649455763326821,0.503254397350333,0.342059677458706,0.554510058403634,0.210532478949207,0.630545114181094,"IL, Union","+37.4751042,-089.2528747",0.646667190315449,0.690555902887596,0.577556549555333,0.87044469417242,0.402914819645089,0.595131528510676
"IL, Vermilion",2021,IL,Vermilion County,17183,All patients,Adjusted Prevalence,"DR, any stage",3.01,0.432107451466324,"IL, Vermilion","+40.1867398,-087.7267715",0.536600891152132,0.617771969944463,0.422693726937269,0.0779758115849777,0.505494857712777,0.470975420423406,"IL, Vermilion","+40.1867398,-087.7267715",0.386232582780682,0.446733168656428,0.487018781134603,0.56391714912191,0.601168256885357,"IL, Vermilion","+40.1867398,-087.7267715",0.472043911061494,0.663573596173588,0.791714446043868,0.614103396063162,0.464405935084675,0.548943723504056,"IL, Vermilion","+40.1867398,-087.7267715",0.515752841126695,0.620536088186814,0.299966683646638,0.701075614063253,0.399706899670448,0.756624214330491
"IL, Wabash",2021,IL,Wabash County,17185,All patients,Adjusted Prevalence,"DR, any stage",3.78,0.482304033467132,"IL, Wabash","+38.4458209,-087.8391674",0.713558243157225,0.617771969944463,0.572878228782288,0.319859961807766,0.187451763643919,0.548937747715884,"IL, Wabash","+38.4458209,-087.8391674",0.448110228055635,0.664240249053539,0.707880308625669,0.375520205128694,0.490400481770301,"IL, Wabash","+38.4458209,-087.8391674",0.446506651781561,0.488811996167864,0.39705272403445,0.737616266493619,0.38201477037401,0.497981671556226,"IL, Wabash","+38.4458209,-087.8391674",0.596122320961598,0.639434896008395,0.200098426561427,0.525445496869482,0.346646169279081,0.680142719657374
"IL, Warren",2021,IL,Warren County,17187,All patients,Adjusted Prevalence,"DR, any stage",3.29,0.387287972017551,"IL, Warren","+40.8504412,-090.6202228",0.45448758752387,0.617771969944463,0.356457564575646,0.0022278803309993,0.505494857712777,0.56069130315959,"IL, Warren","+40.8504412,-090.6202228",0.334312168961305,0.638908303153553,0.529350573903724,0.740194166619778,0.48707020696344,"IL, Warren","+40.8504412,-090.6202228",0.655595869383198,0.343032127099163,0.392148730085149,0.518170019467878,0.52640428878181,0.423122434026901,"IL, Warren","+40.8504412,-090.6202228",0.292988424737081,0.42702614605755,0.331343509805104,0.520468775084283,0.217549065434728,0.749358683042662
"IL, Washington",2021,IL,Washington County,17189,All patients,Adjusted Prevalence,"DR, any stage",3.38,0.47256719917127,"IL, Washington","+38.3531405,-089.4171873",0.75875238701464,0.617771969944463,0.483025830258303,0.240292807129217,0.262993001509725,0.584094500425815,"IL, Washington","+38.3531405,-089.4171873",0.406660529715413,0.814965324306524,0.674198925683282,0.440553221998041,0.561444335024607,"IL, Washington","+38.3531405,-089.4171873",0.825146525258164,0.46058851242895,0.379510576524264,0.651092364265628,0.490883696646031,0.472293849940962,"IL, Washington","+38.3531405,-089.4171873",0.487615948549041,0.724732484578763,0.41156609060364,0.477123133729331,0.349333886014592,0.383391556170408
"IL, Wayne",2021,IL,Wayne County,17191,All patients,Adjusted Prevalence,"DR, any stage",3.59,0.515249446890544,"IL, Wayne","+38.4319482,-088.4321291",0.691279439847231,0.617771969944463,0.532287822878229,0.249522597071929,0.485385404710866,0.530263499922655,"IL, Wayne","+38.4319482,-088.4321291",0.307949479290087,0.756026722224842,0.692235950428385,0.364841847747308,0.4495491841811,"IL, Wayne","+38.4319482,-088.4321291",0.478602660712624,0.39279916074046,0.28735940664113,0.732749296993294,0.356235395817993,0.629443552352475,"IL, Wayne","+38.4319482,-088.4321291",0.462969571693926,0.76284183342425,0.593087992172146,0.79033552737197,0.394591567818993,0.772834821633564
"IL, White",2021,IL,White County,17193,All patients,Adjusted Prevalence,"DR, any stage",2.68,0.538349050510091,"IL, White","+38.0873720,-088.1785848",0.937619350732018,0.617771969944463,0.566236162361624,0.332272437937619,0.237845331574733,0.544701465043954,"IL, White","+38.0873720,-088.1785848",0.350839965206464,0.779498809033096,0.746899178482424,0.30156790745383,0.524330698544089,"IL, White","+38.0873720,-088.1785848",0.571122895153038,0.469226239544275,0.3126357137629,0.766601773739996,0.502066870520234,0.549231695856074,"IL, White","+38.0873720,-088.1785848",0.401263088775087,0.782492608578792,0.427768708467789,0.575854872371167,0.420775130855255,0.687235766088357
"IL, Whiteside",2021,IL,Whiteside County,17195,All patients,Adjusted Prevalence,"DR, any stage",2.52,0.374932592498034,"IL, Whiteside","+41.7505708,-089.9109567",0.352005092297899,0.617771969944463,0.286531365313653,0.0085932527052832,0.609761282228872,0.532141952667158,"IL, Whiteside","+41.7505708,-089.9109567",0.403146214349706,0.478975840711599,0.442662424363481,0.803783331243846,0.535744900715295,"IL, Whiteside","+41.7505708,-089.9109567",0.333798492883059,0.692446370058973,0.671969160953473,0.569327276660177,0.41118320302079,0.44067573933402,"IL, Whiteside","+41.7505708,-089.9109567",0.50872192324573,0.564086791480991,0.434251405695795,0.307432974795312,0.261592939681156,0.567968401105134
"IL, Will",2021,IL,Will County,17197,All patients,Adjusted Prevalence,"DR, any stage",3.02,0.413705837264218,"IL, Will","+41.4484742,-087.9784564",0.397517504774029,0.617771969944463,0.381734317343173,0.0617441120305538,0.609761282228872,0.454182402396378,"IL, Will","+41.4484742,-087.9784564",0.227003693815156,0.358760565458309,0.491251960411515,0.739713389900533,0.666817164639973,"IL, Will","+41.4484742,-087.9784564",0.382407665829379,0.922799086087587,0.82394417742211,0.742050616482803,0.462884277377984,0.33282620768722,"IL, Will","+41.4484742,-087.9784564",0.383420752791853,0.334071743787838,0.278847245668087,0.106758709263124,0.382019989539992,0.511838805072423
"IL, Williamson",2021,IL,Williamson County,17199,All patients,Adjusted Prevalence,"DR, any stage",3.25,0.514216049878451,"IL, Williamson","+37.7303533,-088.9300182",0.793125397835773,0.617771969944463,0.554059040590406,0.373329089751751,0.232794751269863,0.497960029708841,"IL, Williamson","+37.7303533,-088.9300182",0.311502207586341,0.72527119974325,0.634535876371344,0.320530835134428,0.540753602060867,"IL, Williamson","+37.7303533,-088.9300182",0.46013582658852,0.631893284441562,0.56471564154488,0.657906121566083,0.38911713616329,0.597253565954414,"IL, Williamson","+37.7303533,-088.9300182",0.573095345274587,0.710379585012241,0.425889996154628,0.651790014448547,0.603539868869961,0.618826585966522
"IL, Winnebago",2021,IL,Winnebago County,17201,All patients,Adjusted Prevalence,"DR, any stage",2.66,0.417720585349697,"IL, Winnebago","+42.3373957,-089.1612053",0.344366645448759,0.617771969944463,0.314575645756458,0.0133672819859962,0.798521383612808,0.483062869141629,"IL, Winnebago","+42.3373957,-089.1612053",0.275190431321611,0.381270505392814,0.43088314289729,0.8449073969548,0.617704472233355,"IL, Winnebago","+42.3373957,-089.1612053",0.409759047353242,0.741749780954717,0.817551906702125,0.631300021630976,0.488161604525714,0.455982082602468,"IL, Winnebago","+42.3373957,-089.1612053",0.338230728387376,0.515545850085699,0.443405365098156,0.371488200353187,0.421555435713952,0.645666915976442
"IL, Woodford",2021,IL,Woodford County,17203,All patients,Adjusted Prevalence,"DR, any stage",1.94,0.396533651312551,"IL, Woodford","+40.7895956,-089.2103006",0.413430935709739,0.617771969944463,0.363837638376384,0.0837046467218332,0.503923065810335,0.540059474919855,"IL, Woodford","+40.7895956,-089.2103006",0.337278632287493,0.630067997669781,0.514534446434532,0.678356823287615,0.411466836812529,"IL, Woodford","+40.7895956,-089.2103006",0.17820262349986,0.457616077542761,0.251201600507478,0.616482803374432,0.553831079138115,0.406127722731629,"IL, Woodford","+40.7895956,-089.2103006",0.617946770399463,0.361350802749086,0.295116036937689,0.188633809600257,0.40577593746031,0.567942979242972
"IN, Adams",2021,IN,Adams County,18001,All patients,Adjusted Prevalence,"DR, any stage",3.45,0.369306764270737,"IN, Adams","+40.7457327,-084.9361305",0.397835773392743,0.422737667428945,0.379151291512915,0.100572883513686,0.546236205505395,0.536446994149178,"IN, Adams","+40.7457327,-084.9361305",0.235122092287707,0.497128522516576,0.756381594447975,0.657155767344454,0.489112637498988,"IN, Adams","+40.7457327,-084.9361305",0.410224206902968,0.485665606028871,0.44850806353234,0.757624918883842,0.343540392146921,0.422528661305259,"IN, Adams","+40.7457327,-084.9361305",0.48913537205174,0.30068794033837,0.362774941781437,0.360892599133087,0.438365991767963,0.583315122758957
"IN, Allen",2021,IN,Allen County,18003,All patients,Adjusted Prevalence,"DR, any stage",3.04,0.358994146829302,"IN, Allen","+41.0918553,-085.0722302",0.361871419478039,0.422737667428945,0.321033210332103,0.0795671546785487,0.609761282228872,0.415744664471363,"IN, Allen","+41.0918553,-085.0722302",0.160047349023322,0.263623166968084,0.57306652663039,0.666241615263656,0.654599672977857,"IN, Allen","+41.0918553,-085.0722302",0.40789840915434,0.823912443142989,0.717739771146949,0.781202682240969,0.542245059204038,0.410024800669743,"IN, Allen","+41.0918553,-085.0722302",0.317443470224447,0.19932649543548,0.469935967448809,0.353828864986354,0.356000478905548,0.763613527017818
"IN, Bartholomew",2021,IN,Bartholomew County,18005,All patients,Adjusted Prevalence,"DR, any stage",3.03,0.415587511047937,"IN, Bartholomew","+39.2058430,-085.8979988",0.494589433481859,0.422737667428945,0.458487084870849,0.257479312539784,0.444644056918248,0.51303539655559,"IN, Bartholomew","+39.2058430,-085.8979988",0.283877043988841,0.666980499628108,0.621840113951334,0.479443928654074,0.58325784732317,"IN, Bartholomew","+39.2058430,-085.8979988",0.441715508419388,0.778015516380158,0.531851562690609,0.68451222150119,0.480194427624506,0.472027652241319,"IN, Bartholomew","+39.2058430,-085.8979988",0.570904450914482,0.332870767545184,0.409528153849595,0.292663348852143,0.522032012728205,0.704167179558303
"IN, Benton",2021,IN,Benton County,18007,All patients,Adjusted Prevalence,"DR, any stage",2.72,0.376990113163795,"IN, Benton","+40.6082528,-087.3154792",0.416613621896881,0.422737667428945,0.406642066420664,0.0617441120305538,0.577213098041931,0.534088296767234,"IN, Benton","+40.6082528,-087.3154792",0.412012316663033,0.50913608888294,0.607300063391506,0.607904718131457,0.486427098089985,"IN, Benton","+40.6082528,-087.3154792",0.534979998139362,0.47416997143301,0.237709517651938,0.611075059485183,0.57420094374043,0.48237081444881,"IN, Benton","+40.6082528,-087.3154792",0.406947513689973,0.558804213383732,0.508289750037191,0.565901428800771,0.28750705241996,0.566774928361235
"IN, Blackford",2021,IN,Blackford County,18009,All patients,Adjusted Prevalence,"DR, any stage",3.78,0.37834091883889,"IN, Blackford","+40.4726717,-085.3237297",0.375875238701464,0.422737667428945,0.412546125461255,0.13430935709739,0.546236205505395,0.526061573282009,"IN, Blackford","+40.4726717,-085.3237297",0.407807806786664,0.452040329363951,0.640797395060984,0.603600761916436,0.508699159639792,"IN, Blackford","+40.4726717,-085.3237297",0.568564517629547,0.42913596513156,0.374387000756337,0.696409258057538,0.474999056623975,0.496295399534059,"IN, Blackford","+40.4726717,-085.3237297",0.421160913960491,0.719318450309805,0.214258174435648,0.764007063734147,0.36224291777512,0.496784876989141
"IN, Boone",2021,IN,Boone County,18011,All patients,Adjusted Prevalence,"DR, any stage",2.55,0.39579321400502,"IN, Boone","+40.0508916,-086.4690137",0.450031826861871,0.422737667428945,0.32859778597786,0.187141947803947,0.59045684195248,0.490988557139986,"IN, Boone","+40.0508916,-086.4690137",0.367975496443975,0.459509216684488,0.565060296258839,0.571409219172641,0.612443446844699,"IN, Boone","+40.0508916,-086.4690137",0.69038980370267,0.571164232467572,0.659526191231366,0.669370538611291,0.471766468210595,0.302218785180453,"IN, Boone","+40.0508916,-086.4690137",0.533827032168378,0.304848027953882,0.14485494542863,0.187510033713277,0.391894502405589,0.25037816941296
"IN, Brown",2021,IN,Brown County,18013,All patients,Adjusted Prevalence,"DR, any stage",2.39,0.440517893971387,"IN, Brown","+39.1925851,-086.2394102",0.493316359007002,0.422737667428945,0.481549815498155,0.299490770210057,0.505494857712777,0.404950873648571,"IN, Brown","+39.1925851,-086.2394102",0.240618333261171,0.367425724276712,0.549692014970919,0.46206742208548,0.347294276046095,"IN, Brown","+39.1925851,-086.2394102",0.301516420132105,0.522321956671309,0.140532363920267,0.520333117023578,0.251767522483217,0.459649304095035,"IN, Brown","+39.1925851,-086.2394102",0.702137568111802,0.540299302951237,0.219588450750443,0.428319152351902,0.472699405550611,0.394851944854213
"IN, Carroll",2021,IN,Carroll County,18015,All patients,Adjusted Prevalence,"DR, any stage",2.37,0.383243944303597,"IN, Carroll","+40.5849801,-086.5651412",0.407702100572884,0.422737667428945,0.385055350553506,0.128898790579249,0.571825812383403,0.584816502075324,"IN, Carroll","+40.5849801,-086.5651412",0.408326546447589,0.552550216822902,0.77303823464626,0.605351010384544,0.540862971249358,"IN, Carroll","+40.5849801,-086.5651412",0.534654386454554,0.494277894508106,0.494498255544441,0.662232316677482,0.518652003062209,0.481539647279927,"IN, Carroll","+40.5849801,-086.5651412",0.766438807477787,0.42663565979152,0.387881369966409,0.5292984427677,0.186587624028538,0.592395979647608
"IN, Cass",2021,IN,Cass County,18017,All patients,Adjusted Prevalence,"DR, any stage",4.09,0.388292295008859,"IN, Cass","+40.7537986,-086.3551685",0.383831954169319,0.422737667428945,0.400738007380074,0.131126670910248,0.603027175155712,0.533604542793521,"IN, Cass","+40.7537986,-086.3551685",0.408326546447589,0.405461184061425,0.686902238924744,0.633728201740324,0.570492926850551,"IN, Cass","+40.7537986,-086.3551685",0.434970694948367,0.516594537256409,0.736794593407666,0.736534717715769,0.427570090924541,0.451094766739618,"IN, Cass","+40.7537986,-086.3551685",0.602644834435221,0.682820818896093,0.191819521137597,0.427998073527051,0.263751104499643,0.537534247942105
"IN, Clark",2021,IN,Clark County,18019,All patients,Adjusted Prevalence,"DR, any stage",2.78,0.597998974022827,"IN, Clark","+38.4762174,-085.7111221",0.716422660725652,0.422737667428945,0.736715867158672,0.565881604073838,0.548237070727027,0.508711501019001,"IN, Clark","+38.4762174,-085.7111221",0.403686616647898,0.658746058629643,0.631962933961342,0.34045039483712,0.705193740495357,"IN, Clark","+38.4762174,-085.7111221",0.657596055447018,0.848831599504249,0.740625076243687,0.810080034609561,0.468835936672268,0.38106284621061,"IN, Clark","+38.4762174,-085.7111221",0.375302145148618,0.0849446895076075,0.389581209950949,0.394766415154921,0.375247998753396,0.666534618748169
"IN, Clay",2021,IN,Clay County,18021,All patients,Adjusted Prevalence,"DR, any stage",1.86,0.400580014600958,"IN, Clay","+39.3939513,-087.1158369",0.404201145767027,0.422737667428945,0.440036900369004,0.236155315085933,0.499769044353882,0.513194334488958,"IN, Clay","+39.3939513,-087.1158369",0.290998350042663,0.610784486705433,0.597913448473135,0.5530810527346,0.543158247861062,"IN, Clay","+39.3939513,-087.1158369",0.728858498464973,0.500032298980742,0.415912362456389,0.631083711875406,0.439904367527802,0.440574174783732,"IN, Clay","+39.3939513,-087.1158369",0.503738292551251,0.447652714484996,0.26716644882461,0.420613260555466,0.184766912691579,0.819507419594488
"IN, Clinton",2021,IN,Clinton County,18023,All patients,Adjusted Prevalence,"DR, any stage",2.6,0.374820948810586,"IN, Clinton","+40.3059440,-086.4775665",0.408656906429026,0.422737667428945,0.362730627306273,0.128580521960535,0.551399020928151,0.569570823582181,"IN, Clinton","+40.3059440,-086.4775665",0.440456541403738,0.497190276356037,0.708344212218669,0.632292264350279,0.581055593928014,"IN, Clinton","+40.3059440,-086.4775665",0.448971997395106,0.53014683226605,0.626466928538317,0.661367077655202,0.638325133785395,0.413690766257072,"IN, Clinton","+40.3059440,-086.4775665",0.462568862216711,0.416625157500068,0.222890231504002,0.606999518381763,0.300858935557657,0.472201892382234
"IN, Crawford",2021,IN,Crawford County,18025,All patients,Adjusted Prevalence,"DR, any stage",2.16,0.494641447439553,"IN, Crawford","+38.2894327,-086.4408711",0.510184595798854,0.422737667428945,0.535424354243542,0.502864417568428,0.501996202157995,0.45346318826579,"IN, Crawford","+38.2894327,-086.4408711",0.198210898201336,0.660953340106989,0.568005116625387,0.386683398129446,0.48854166968764,"IN, Crawford","+38.2894327,-086.4408711",0.75774490650293,0.76124765787261,0.200746578183326,0.580575383949816,0.142393821929517,0.539448847610514,"IN, Crawford","+38.2894327,-086.4408711",0.342057452775613,0.719318450309805,0.565505079574371,0.751324450152513,0.222568348068435,0.63591930478235
"IN, Daviess",2021,IN,Daviess County,18027,All patients,Adjusted Prevalence,"DR, any stage",2.67,0.466600480036396,"IN, Daviess","+38.6961554,-087.0769883",0.563335455124125,0.422737667428945,0.505719557195572,0.35582431572247,0.485385404710866,0.583570050636587,"IN, Daviess","+38.6961554,-087.0769883",0.456511605452065,0.742649562931878,0.697117084571206,0.4380019495912,0.563137016206726,"IN, Daviess","+38.6961554,-087.0769883",0.458368220299563,0.558136609493608,0.513894649523019,0.753082414016872,0.532203187700568,0.511379642360103,"IN, Daviess","+38.6961554,-087.0769883",0.635133010097245,0.558804213383732,0.166625485487823,0.670091507465083,0.309702390622885,0.727921247103849
"IN, Dearborn",2021,IN,Dearborn County,18029,All patients,Adjusted Prevalence,"DR, any stage",2.46,0.436350007862227,"IN, Dearborn","+39.1514914,-084.9734596",0.479630808402292,0.422737667428945,0.454981549815498,0.318905155951623,0.505494857712777,0.492725999152493,"IN, Dearborn","+39.1514914,-084.9734596",0.401112207357826,0.533384015338072,0.539753246233821,0.496654527680253,0.579026125610134,"IN, Dearborn","+39.1514914,-084.9734596",0.624569727416504,0.62932319180319,0.433064142289019,0.77471338957387,0.433460176968087,0.465718554546671,"IN, Dearborn","+39.1514914,-084.9734596",0.682976176569601,0.650248051059608,0.420177734282136,0.151067587092631,0.474606817427425,0.415234960848624
"IN, Decatur",2021,IN,Decatur County,18031,All patients,Adjusted Prevalence,"DR, any stage",3.75,0.423742929850008,"IN, Decatur","+39.3059799,-085.4998310",0.499363462762572,0.422737667428945,0.428228782287823,0.262889879057925,0.505494857712777,0.572555750949781,"IN, Decatur","+39.3059799,-085.4998310",0.388113310184097,0.608929133666642,0.784725490475996,0.508455069472388,0.617947778400449,"IN, Decatur","+39.3059799,-085.4998310",0.850172109033398,0.567737808842281,0.444775172615707,0.695760328790828,0.531293472720027,0.411795261419274,"IN, Decatur","+39.3059799,-085.4998310",0.354457892622766,0.354827389588809,0.280414398618558,0.444373093594478,0.546828367126785,0.48987042696425
"IN, De Kalb",2021,IN,DeKalb County,18033,All patients,Adjusted Prevalence,"DR, any stage",3.31,0.362284460912595,"IN, DeKalb","+41.4011894,-085.0001854",0.24124761298536,0.422737667428945,0.291881918819188,0.0872056015276894,0.76834950380179,0.473712990968272,"IN, DeKalb","+41.4011894,-085.0001854",0.285378670382645,0.395306841291112,0.472850608531319,0.741315843668012,0.576153643988226,"IN, DeKalb","+41.4011894,-085.0001854",0.696343845939157,0.643510744998021,0.411471930124186,0.681375730045425,0.448065968834341,0.418205257566001,"IN, DeKalb","+41.4011894,-085.0001854",0.612406858881893,0.337467786051953,0.408074125101248,0.378230855675068,0.328689808851168,0.444362110834678
"IN, Delaware",2021,IN,Delaware County,18035,All patients,Adjusted Prevalence,"DR, any stage",3.21,0.382727482500835,"IN, Delaware","+40.2271653,-085.3988555",0.382240611075748,0.422737667428945,0.416974169741697,0.145448758752387,0.546236205505395,0.458533686758045,"IN, Delaware","+40.2271653,-085.3988555",0.368754238813158,0.334932500467717,0.520151785668989,0.610296222082314,0.578941413365427,"IN, Delaware","+40.2271653,-085.3988555",0.488696622941669,0.665887945036504,0.482030887842487,0.718689162881246,0.539402448125231,0.514725479172263,"IN, Delaware","+40.2271653,-085.3988555",0.286283066531276,0.496908883481749,0.549877608969439,0.476320436667202,0.499836674525281,0.779126204858631
"IN, Dubois",2021,IN,Dubois County,18037,All patients,Adjusted Prevalence,"DR, any stage",2.54,0.489737175820922,"IN, Dubois","+38.3733441,-086.8733845",0.542011457670274,0.422737667428945,0.532287822878229,0.466263526416295,0.485385404710866,0.590759599065433,"IN, Dubois","+38.3733441,-086.8733845",0.400798244938393,0.778419181563893,0.816106232507018,0.367714737252428,0.519358445175025,"IN, Dubois","+38.3733441,-086.8733845",0.463531491301516,0.744468433165958,0.417376241247225,0.705277958035907,0.266138102124518,0.389154850043423,"IN, Dubois","+38.3733441,-086.8733845",0.629806883844982,0.169968228949399,0.154689691382717,0.305988120083481,0.546481564967364,0.527994611032593
"IN, Elkhart",2021,IN,Elkhart County,18039,All patients,Adjusted Prevalence,"DR, any stage",2.64,0.384130536343432,"IN, Elkhart","+41.6006928,-085.8639864",0.331635900700191,0.422737667428945,0.328228782287823,0.0697008274984087,0.76834950380179,0.496055817201562,"IN, Elkhart","+41.6006928,-085.8639864",0.366788933126641,0.275447620271686,0.618527191038968,0.723459524368951,0.654814182551995,"IN, Elkhart","+41.6006928,-085.8639864",0.528653828263094,0.764089456794326,0.763363993461341,0.746376811594203,0.47158682264701,0.493461180080571,"IN, Elkhart","+41.6006928,-085.8639864",0.459981476247423,0.510913621030917,0.378872600799405,0.517257986835768,0.371433174999768,0.722308220570143
